Type,Country,Area,Activity,Sex,Fatal (Y/N),Time,Investigator or Source,Year,Month
Unprovoked,AUSTRALIA,Western Australia,Free diving,M,N,09h30,"Perth Now, 12/15/2016",2016,Dec
Unprovoked,FRENCH POLYNESIA,Tuamotos,Fishing,M,N,,"Tahiti Info, 12/12/2016",2016,Dec
Invalid,USA,Florida,Surfing,M,,Afternoon,"News Journal, 12/15/2016",2016,Dec
Provoked,AUSTRALIA,New South Wales,Surf fishing,M,N,02h00,Bay 93.9 Geelong,2016,Dec
Unprovoked,AUSTRALIA,New South Wales,Surfing,M,N,09h00,"B. Myatt, GSAF",2016,Dec
Provoked,AUSTRALIA,Victoria,Fishing,M,N,11h00,"ABC News, 11/28/2016",2016,Nov
Unprovoked,USA,Hawaii,Floating,F,N,10h30,"Maui News, 11/14/2016",2016,Nov
Unprovoked,USA,Florida,Surfing,M,N,Afternoon,"First Coast News, 10/31/2016",2016,Oct
Unprovoked,USA,Florida,Surfing,M,N,Afternoon,"First Coast News, 10/31/2016",2016,Oct
Unprovoked,AUSTRALIA,New South Wales,Surfing,M,N,07h30,"Daily Mail, 10/24/2016",2016,Oct
Unprovoked,USA,Hawaii,Surfing,M,N,17h00,"Surfline, 10/23/2016",2016,Oct
Unprovoked,AUSTRALIA,Queensland,Surfing,M,N,18h00,"Daily Mail, 10/16/2016",2016,Oct
Unprovoked,USA,Hawaii,Snorkeling,F,N,09h50,Maui News,2016,Oct
Unprovoked,AUSTRALIA,New South Wales,Surfing,M,N,10h30,"Courier Mail, 10/12/2016",2016,Oct
Unprovoked,USA,Oregon,Surfing,M,N,16h00,"UP Beacon, 10/12/2016",2016,Oct
Unprovoked,USA,Florida,Surfing,M,N,11h30,"Orlando Sentinel, 10/2/2016",2016,Oct
Unprovoked,USA,Florida,Surfng,M,N,17h30,"Orlando Sentinel, 10/2/2016",2016,Oct
Unprovoked,AUSTRALIA,New South Wales,Surfing,M,N,9h00,"ABC.net.au, 09/26/2016",2016,Sep
Unprovoked,USA,Florida,Surfing,M,N,13h00,"Orlando Sentinel, 9/19/2016",2016,Sep
Unprovoked,USA,Florida,Surfing,M,N,11h00,"Orlando Sentinel, 9/19/2016",2016,Sep
Unprovoked,USA,Florida,Surfing,M,N,10h43,"Orlando Sentinel, 9/19/2016",2016,Sep
Unprovoked,USA,California,Surfing,M,N,After noon,"R. Collier, GSAF",2016,Sep
Unprovoked,AUSTRALIA,Victoria,Surfing,M,N,,"The Age, 9/18/2016",2016,Sep
Unprovoked,AUSTRALIA,Victoria,Surfing,M,N,,"The Age, 9/16/2016",2016,Sep
Unprovoked,USA,Florida,Wading,M,N,15h15,"News4Jax, 9/11/2016",2016,Sep
Unprovoked,USA,Hawaii,Swimming,F,N,14h30,"Hawaii News Now, 9/7/2016",2016,Sep
Unprovoked,NEW CALEDONIA,North Province,Kite surfing,M,Y,15h40,"TVANouvelles, 9/6/2016",2016,Sep
Unprovoked,USA,South Carolina,Boogie boarding,F,N,Late afternoon,"C. Creswell, GSAF",2016,Sep
Unprovoked,AUSTRALIA,Western Australia,Surfing,M,N,Late afternoon,"Perth Now, 9/5/2016",2016,Sep
Unprovoked,USA,Florida,Body boarding,M,N,,"Orlando Sentinel, 9/7/2016",2016,Sep
Unprovoked,USA,California,Spearfishing,M,N,,"R. Collier, GSAF",2016,Sep
Unprovoked,USA,Florida,Surfing,M,N,15h00,"News Channel 8, 8/30/16",2016,Aug
Unprovoked,USA,Florida,Surfing,M,N,14h00,"News Channel 8, 8/30/16",2016,Aug
Unprovoked,REUNION,,Surfing,M,N,17h00,"LaDepeche, 8/29/2016",2016,Aug
Unprovoked,USA,Florida,Wading,M,N,16h00,"First Coast News, 7/25/2016",2016,Aug
Unprovoked,BAHAMAS,New Providence Island,Snorkeling,M,N,,"ABC, 8/11/2016",2016,Aug
Unprovoked,USA,Hawaii,SUP Foil boarding,M,N,16h30,"SUP, 8/9/2015",2016,Aug
Unprovoked,USA,Florida,Surfing,M,N,,"News 965, 8/5/2016",2016,Aug
Unprovoked,SPAIN,Alicante Province,Swimming,M,N,11h30,"Informacion.es, 7/29/2016",2016,Jul
Unprovoked,CHINA,Hong Kong,Swimming,M,N,,"Klassick, 7/28/2016",2016,Jul
Boating,AUSTRALIA,Western Australia,Kayaking,M,N,,"ABC Australia, 7/28/2016",2016,Jul
Provoked,USA,Florida,Lobstering,M,N,,"Tampa Bay Times, 7/27/2016",2016,Jul
Unprovoked,AUSTRALIA,New South Wales,Surfing,M,N,12h00,"Gold Coast Bulletin, 7/28/2016",2016,Jul
Unprovoked,JAPAN,Kochi Prefecture,Surfing,M,N,19h05,"Japan Times, 7/25/2016",2016,Jul
Unprovoked,AUSTRALIA,Tasmania,Surfing,M,N,,"C. Black, GSAF",2016,Jul
Unprovoked,BAHAMAS,Abaco Islands,Spearfishing,M,N,,"KWTX, 7/23/2016",2016,Jul
Provoked,AUSTRALIA,Queensland,Fishing,M,N,After noon,"Nine News, 7/20/2016",2016,Jul
Unprovoked,USA,Florida,Surfing,F,N,1300,"Orlando Sentinel, 7/21/2016",2016,Jul
Unprovoked,USA,Florida,,F,N,11h00,"Orlando Sentinel, 7/21/2016",2016,Jul
Unprovoked,USA,California,Kite surfing,M,N,17h00,"R. Collier, GSAF",2016,Jul
Unprovoked,USA,South Carolina,Swimming,M,N,,"C. Creswell, GSAF",2016,Jul
Unprovoked,SPAIN,Canary Islands,Wading,F,N,,La Opinion de Tenerife,2016,Jul
Boating,USA,California,Fishing for squid,M,N,,"R. Collier, GSAF",2016,Jul
Provoked,USA,Massachusetts,Fishing,M,N,10h00,Salem News 7/8/2016,2016,Jul
Boating,USA,California,Fishing for sharks,M,N,,"R. Collier, GSAF",2016,Jul
Unprovoked,USA,Florida,Swimming,F,N,14h30 / 15h30,"Florida Today, 7/6/2016",2016,Jul
Provoked,AUSTRALIA,Queensland,Fishing,M,N,22h00,"Cairns Post, 7/9/2016",2016,Jul
Unprovoked,USA,South Carolina,,M,N,16h20,"C. Creswell, GSAF",2016,Jun
Unprovoked,USA,North Carolina,Surfing,M,N,14h34,"C. Creswell, GSAF",2016,Jun
Unprovoked,COLUMBIA,Isla Provedencia,Scuba Diving,M,N,11h00,Dr. A. Velez,2016,Jun
Unprovoked,SOUTH AFRICA,Western Cape Province,Spearfishing,M,N,,"News 24, 6/23/2016",2016,Jun
Unprovoked,USA,South Carolina,Floating,M,N,15h25,"C. Creswell, GSAF",2016,Jun
Unprovoked,USA,Florida,Wading,M,N,14h55,"Florida Today, 6/22/2016",2016,Jun
Unprovoked,USA,Hawaii,Surfing,M,N,06h00,"West Hawaii Today, 6/16/2016",2016,Jun
Provoked,AUSTRALIA,Western Australia,Spearfishing,M,N,,"Perth Now, 6/16/2016",2016,Jun
Unprovoked,USA,Texas,Floating in tube,F,N,17h30,"Click2Houston, 6/14/2016",2016,Jun
Unprovoked,USA,North Carolina,Standing,M,N,15h00,"C. Creswell, GSAF",2016,Jun
Invalid,USA,South Carolina,Surfing,M,,11h30,"C. Creswell, GSAF",2016,Jun
Unprovoked,USA,Florida,Swimming,M,N,08h30,"Daytona Beach News-Journal, 6/5/2016",2016,Jun
Unprovoked,AUSTRALIA,Western Australia,Diving,F,Y,11h30,"B. Myatt, GSAF",2016,Jun
Unprovoked,EGYPT,Suez,Swimming,M,N,Morning,"Ahram Online, 6/4/2016",2016,Jun
Unprovoked,NEW CALEDONIA,,Kite surfing,M,N,Afternoon,"Les Nouvelles Caledoniennes, 6/3/2016",2016,Jun
Unprovoked,AUSTRALIA,Western Australia,Surfing,M,Y,16h00,"Perth Now, 5/31/2016",2016,May
Unprovoked,USA,California,Swimming,F,N,16h00,"R. Collier, GSAF",2016,May
Unprovoked,USA,Florida,Swimming,M,N,15h45,"News4Jax, 5/29/2016",2016,May
Unprovoked,USA,Florida,Swimming,F,N,12h00,"Florida Today, 5/22/2016",2016,May
Unprovoked,USA,Florida,Swimming,F,N,18h00,"ABC Action News, 6/15/2016",2016,May
Unprovoked,USA,Florida,Swimming,F,N,17h46,"Action News Jax, 5/23/2016",2016,May
Unprovoked,USA,Florida,Swimming,M,N,Morning ,"News4Jax, 5/19/2016",2016,May
Provoked,USA,Florida,Teasing a shark,F,N,13h20,"CBS News, 5/16/2016",2016,May
Unprovoked,USA,Hawaii,Floating,M,N,15h49,"Maui Now, 5/3/2016",2016,May
Provoked,NEW ZEALAND,North Island,Fishing,M,N,Afternoon,Radio New Zealand  5/3/2016,2016,May
Unprovoked,INDONESIA,Bali,Surfing,M,N,07h00,"News.com.au, 4/26/2016",2016,Apr
Unprovoked,USA,Florida,Surfing,M,N,17h30,"News4Jax, 4/23/2016",2016,Apr
