Year,Type,Country,Area,Activity,Sex,Time,Investigator or Source,Month,Fatal
2017,Unprovoked,REUNION,,Board involved activity,M,Morning,"Clincanoo, 6/19/2017",Jun ,N
2017,Unprovoked,SPAIN,Ibiza Island,Swimming related,M,Afternoon,"Diario de Ibiza, 6/17/'2017",Jun ,N
2017,Unprovoked,FRENCH POLYNESIA,Marquesas,Board involved activity,M,,"Tahiti Infos, 6/6/2017",,N
2017,Unprovoked,AUSTRALIA,Western Australia,Board involved activity,M,Morning,"WA Today, 6/11/2017",Jun ,N
2017,Unprovoked,AUSTRALIA,Victoria,Board involved activity,F,Afternoon,Victoria Shark Reports,Jun ,N
2017,Unprovoked,USA,Florida,Board involved activity,M,Morning,"Daytona Beach News-Journal, 6/10/2017",Jun ,N
2017,Unprovoked,UNITED KINGDOM,South Devon,Board involved activity,M,,"C. Moore, GSAF",Jun ,N
2017,Unprovoked,USA,Florida,Fishing related,M,,"Nine News, 6/7/2017",Jun ,N
2017,Unprovoked,BAHAMAS,New Providence ,Diving activities,F,Afternoon,"Tribune 242, 6/2/2017",Jun ,N
2017,Provoked,USA,South Carolina,Consequence of handeling sharks,F,,"C. Creswell, GSAF",May ,N
2017,Unprovoked,USA,Florida,Consequence of handeling sharks,M,Morning,"M. Michaelson, GSAF",May ,N
2017,Invalid,AUSTRALIA,New South Wales,Fishing related,M,,"B. Myatt, GSAF",May ,N
2017,Unprovoked,UNITED ARAB EMIRATES,"Sharjah, ",Fishing related,M,Morning,"Gulf News, 5/13/2017",May ,N
2017,Provoked,AUSTRALIA,Queensland,Consequence of handeling sharks,M,,"The Sun, 5/6/2017",May ,N
2017,Unprovoked,MEXICO,Baja California Sur,Diving activities,M,Afternoon,J. Rozada,May ,Y
2017,Invalid,USA,California,Board involved activity,F,Afternoon,"R. Collier, GSAF",May ,
2017,Unprovoked,USA,California,Swimming related,F,Afternoon,"R. Collier, GSAF",Apr ,N
2017,Unprovoked,SOUTH AFRICA,Western Cape Province,Board involved activity,M,Morning,"J. de Villiars, News24, 4/29/2017",Apr ,N
2017,Unprovoked,USA,South Carolina,Board involved activity,F,Morning,"C. Creswell, GSAF",Apr ,N
2017,Unprovoked,REUNION,Saint-Leu,Board involved activity,M,Morning,"Clicanoo, 4/29/2017",Apr ,Y
2017,Unprovoked,NEW ZEALAND,South Island,Board involved activity,F,Afternoon,"C.Black, GSAF",Apr ,N
2017,Unprovoked,"ST HELENA, British overseas territory",Ascension Island,Diving activities,F,Afternoon,"Daily Mail, 4/25/2017",Apr ,N
2017,Invalid,USA,South Carolina,Swimming related,M,Morning,"C. Creswell, GSAF",Apr ,
2017,Unprovoked,AUSTRALIA,Western Australia,Board involved activity,F,Afternoon,"B. Myatt, GSAF",Apr ,Y
2017,Unprovoked,USA,Hawaii,Board involved activity,M,Morning,"Hawaii News Now, 4/14/2017",Apr ,N
2017,Unprovoked,USA,Florida,Board involved activity,M,Afternoon,"News4Jax, 4/14/2017",Apr ,N
2017,Unprovoked,USA,Florida,Board involved activity,F,Afternoon,"The Surf Station, 4/13/2017",Apr ,N
2017,Unprovoked,USA,Florida,Board involved activity,F,Afternoon,"WFTV, 4/11/2017",Apr ,N
2017,Unprovoked,USA,Florida,Board involved activity,F,Afternoon,"Brevard Times, 4/10/2017",Apr ,N
2017,Unprovoked,USA,Florida,Swimming related,F,Afternoon,"Brevard Times, 4/10/2017",Apr ,N
2017,Unprovoked,USA,Florida,Swimming related,M,,"Bradenton Herald, 4/7/2017",Apr ,N
2017,Unprovoked,USA,Florida,Swimming related,F,Afternoon,"AJC, 4/5/2017",Apr ,N
2017,Unprovoked,AUSTRALIA,Queensland,Kakaying,M,Afternoon,"Philly.com, 4/3/2017",Apr ,N
2017,Unprovoked,USA,Florida,Swimming related,F,Afternoon,Okaloosa County Sheriff's Office,Apr ,N
2017,Unprovoked,USA,Florida,Board involved activity,M,Morning,"Orlando Sentinel, 3/27/2017",Mar ,N
2017,Unprovoked,AUSTRALIA,New South Wales,Board involved activity,M,Random or not clear time references,"Illawarra Mercury, 1/19/2017",Mar ,N
2017,Boating,USA,California,Board involved activity,M,Afternoon,"R. Collier, GSAF",Mar ,N
2017,Unprovoked,PHILIPPINES,Luzon Island,Fishing related,M,,"ABS-CBN, 3/13/2017",Mar ,N
2017,Unprovoked,BAHAMAS,Great Exuma,Washing hands,M,,"Kent Live, 3/9/2017",Mar ,N
2017,Unprovoked,AUSTRALIA,Western Australia,Diving activities,F,Morning,"Perth Now, 2/27/2017",Feb ,N
2017,Unprovoked,AUSTRALIA,Western Australia,Board involved activity,M,Morning,"Perth Now, 2/24/2017",Feb ,N
2017,Unprovoked,REUNION,Saint-Andre,Board involved activity,M,Morning,"Surfline, 2/21/2017",Feb ,Y
2017,Unprovoked,AUSTRALIA,Queensland,Fishing related,M,Morning,"Courier Mail, 2/18/2017",Feb ,N
2017,Unprovoked,USA,Florida,Swimming related,M,Afternoon,"Florida Today, 2/11/2017",Feb ,N
2017,Provoked,BRAZIL,Pernambuco,Consequence of handeling sharks,F,Afternoon,"O Popular, 2/7/2017",Feb ,N
2017,Boating,SOUTH AFRICA,KwaZulu-Natal,Board involved activity,M,,"The Citizen, 2/8/2017",Feb ,N
2017,Unprovoked,BAHAMAS,Bimini,Diving activities,M,,"Dutch News, 2/2/2017",Feb ,N
2017,Unprovoked,BRAZIL,Pernambuco,Swimming related,M,Afternoon,"K. McMurray, Tracking Sharks",Jan ,N
2017,Unprovoked,USA,Florida,,M,Afternoon,"TCPalm, 1/22/2017",Jan ,N
2017,Unprovoked,AUSTRALIA,Queensland,Diving activities,M,Afternoon,"ABC, 1/21/2017",Jan ,N
2017,Unprovoked,AUSTRALIA,Queensland,Swimming related,M,Afternoon,"Brisbane Times,1/13/2017",Jan ,N
2017,Unprovoked,USA,Florida,,M,Morning,WPTV. 1/13/2017,Jan ,N
2017,Unprovoked,INDONESIA,Bali,Board involved activity,M,Morning,"Daily Mail, 1/11/2017",Jan ,N
2017,Unprovoked,USA,Florida,Beach activities,M,Afternoon,"Florida Today, 1/5/2017",Jan ,N
2017,Invalid,AUSTRALIA,New South Wales,Beach activities,M,Random or not clear time references,"Illawarra Mercury, 1/7/2017",Jan ,
2016,Unprovoked,USA,Florida,Board involved activity,M,Afternoon,"TCPalm, 12/28/2016",Dec ,N
2016,Unprovoked,AUSTRALIA,Western Australia,Diving activities,F,Morning,"Perth Now, 12/28/2016",Dec ,N
2016,Unprovoked,SOUTH AFRICA,Western Cape Province,Board involved activity,M,Morning,"The Citizen, 12/19/2016",Dec ,N
2016,Unprovoked,AUSTRALIA,Western Australia,Diving activities,M,Morning,"Perth Now, 12/15/2016",Dec ,N
2016,Unprovoked,FRENCH POLYNESIA,Tuamotos,Fishing related,M,,"Tahiti Info, 12/12/2016",Dec ,N
2016,Invalid,USA,Florida,Board involved activity,M,Afternoon,"News Journal, 12/15/2016",Dec ,
2016,Provoked,AUSTRALIA,New South Wales,Board involved activity,M,Nightime,Bay 93.9 Geelong,Dec ,N
2016,Unprovoked,AUSTRALIA,New South Wales,Board involved activity,M,Morning,"B. Myatt, GSAF",Dec ,N
2016,Provoked,AUSTRALIA,Victoria,Fishing related,M,Morning,"ABC News, 11/28/2016",Nov ,N
2016,Unprovoked,USA,Hawaii,Floating,F,Morning,"Maui News, 11/14/2016",Nov ,N
2016,Unprovoked,USA,Florida,Board involved activity,M,Afternoon,"First Coast News, 10/31/2016",Oct ,N
2016,Unprovoked,USA,Florida,Board involved activity,M,Afternoon,"First Coast News, 10/31/2016",Oct ,N
2016,Unprovoked,AUSTRALIA,New South Wales,Board involved activity,M,Morning,"Daily Mail, 10/24/2016",Oct ,N
2016,Unprovoked,USA,Hawaii,Board involved activity,M,Afternoon,"Surfline, 10/23/2016",Oct ,N
2016,Unprovoked,AUSTRALIA,Queensland,Board involved activity,M,Random or not clear time references,"Daily Mail, 10/16/2016",Oct ,N
2016,Unprovoked,USA,Hawaii,Diving activities,F,Morning,Maui News,Oct ,N
2016,Unprovoked,AUSTRALIA,New South Wales,Board involved activity,M,Morning,"Courier Mail, 10/12/2016",Oct ,N
2016,Unprovoked,USA,Oregon,Board involved activity,M,Afternoon,"UP Beacon, 10/12/2016",Oct ,N
2016,Unprovoked,USA,Florida,Board involved activity,M,Morning,"Orlando Sentinel, 10/2/2016",Oct ,N
2016,Unprovoked,USA,Florida,Board involved activity,M,Afternoon,"Orlando Sentinel, 10/2/2016",Oct ,N
2016,Unprovoked,AUSTRALIA,New South Wales,Board involved activity,M,Random or not clear time references,"ABC.net.au, 09/26/2016",Sep ,N
2016,Unprovoked,USA,Florida,Board involved activity,M,Afternoon,"Orlando Sentinel, 9/19/2016",Sep ,N
2016,Unprovoked,USA,Florida,Board involved activity,M,Morning,"Orlando Sentinel, 9/19/2016",Sep ,N
2016,Unprovoked,USA,Florida,Board involved activity,M,Morning,"Orlando Sentinel, 9/19/2016",Sep ,N
2016,Unprovoked,USA,California,Board involved activity,M,Afternoon,"R. Collier, GSAF",Sep ,N
2016,Unprovoked,AUSTRALIA,Victoria,Board involved activity,M,,"The Age, 9/18/2016",Sep ,N
2016,Unprovoked,AUSTRALIA,Victoria,Board involved activity,M,,"The Age, 9/16/2016",Sep ,N
2016,Unprovoked,USA,Florida,Beach activities,M,Afternoon,"News4Jax, 9/11/2016",Sep ,N
2016,Unprovoked,USA,Hawaii,Swimming related,F,Afternoon,"Hawaii News Now, 9/7/2016",Sep ,N
2016,Unprovoked,NEW CALEDONIA,North Province,Board involved activity,M,Afternoon,"TVANouvelles, 9/6/2016",Sep ,Y
2016,Unprovoked,USA,South Carolina,Board involved activity,F,Afternoon,"C. Creswell, GSAF",Sep ,N
2016,Unprovoked,AUSTRALIA,Western Australia,Board involved activity,M,Afternoon,"Perth Now, 9/5/2016",Sep ,N
2016,Unprovoked,USA,Florida,Board involved activity,M,,"Orlando Sentinel, 9/7/2016",Sep ,N
2016,Unprovoked,USA,California,Fishing related,M,,"R. Collier, GSAF",Sep ,N
2016,Unprovoked,USA,Florida,Board involved activity,M,Afternoon,"News Channel 8, 8/30/16",Aug ,N
2016,Unprovoked,USA,Florida,Board involved activity,M,Afternoon,"News Channel 8, 8/30/16",Aug ,N
2016,Unprovoked,REUNION,,Board involved activity,M,Afternoon,"LaDepeche, 8/29/2016",Aug ,N
2016,Unprovoked,USA,Florida,Beach activities,M,Afternoon,"First Coast News, 7/25/2016",Aug ,N
2016,Unprovoked,BAHAMAS,New Providence Island,Diving activities,M,,"ABC, 8/11/2016",Aug ,N
2016,Unprovoked,USA,Hawaii,Board involved activity,M,Afternoon,"SUP, 8/9/2015",Aug ,N
2016,Unprovoked,USA,Florida,Board involved activity,M,,"News 965, 8/5/2016",Aug ,N
2016,Unprovoked,SPAIN,Alicante Province,Swimming related,M,Morning,"Informacion.es, 7/29/2016",Jul ,N
2016,Unprovoked,CHINA,Hong Kong,Swimming related,M,,"Klassick, 7/28/2016",Jul ,N
2016,Boating,AUSTRALIA,Western Australia,Board involved activity,M,,"ABC Australia, 7/28/2016",Jul ,N
2016,Provoked,USA,Florida,Lobstering,M,,"Tampa Bay Times, 7/27/2016",Jul ,N
